,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,filename
39291,32118,Men,Apparel,Innerwear,Briefs,Olive,Summer,2016,Casual,Playboy Men Jack Green Brief,http://assets.myntassets.com/v1/images/style/properties/d648962691993d0938d23dea87613310_images.jpg,32118.jpg
23974,20297,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Inkfruit Men Printed Purple Tshirt,http://assets.myntassets.com/v1/images/style/properties/6f0dcb095912cbd861244f64bed22b54_images.jpg,20297.jpg
11875,41594,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Casual,Basics Men Grey Striped Shirt,http://assets.myntassets.com/v1/images/style/properties/382a6f8469a5e194d6cbdde116763bc3_images.jpg,41594.jpg
2411,21544,Women,Accessories,Bags,Handbags,Blue,Winter,2015,Casual,Kiara Women Small Pocket Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/526ed0e9a1210a4a056dbaea8098a449_images.jpg,21544.jpg
42201,33464,Women,Accessories,Belts,Belts,White,Summer,2012,Casual,Baggit Women Chotu Taj White Belt,http://assets.myntassets.com/v1/images/style/properties/41b9db06cab6a17fef365787e7b885ba_images.jpg,33464.jpg
24427,54582,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Sushilas Women Printed Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/Sushilas-Women-Printed-Blue-Kurta_202ca5674257e8b0b08e851952df7334_images.jpg,54582.jpg
17448,9079,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011,Sports,ADIDAS Men Adna 3s Shrt Kn Black Shorts,http://assets.myntassets.com/v1/images/style/properties/20aebb36b55e98ea751c496b4a29371a_images.jpg,9079.jpg
20984,33836,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,Puma Men Exsis Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/c0971a0cebc00d3cb76b315fe66e61a5_images.jpg,33836.jpg
30579,33398,Women,Accessories,Wallets,Wallets,Purple,Summer,2012,Casual,Baggit Women Bonkers Baby Purple Wallet,http://assets.myntassets.com/v1/images/style/properties/568a21979325426b7bb4f54b769d77f8_images.jpg,33398.jpg
34105,5996,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,Highlander Men Blue Brown Checked Shirt,http://assets.myntassets.com/v1/images/style/properties/bde3eb51a399749ac97319c4f3f7cff2_images.jpg,5996.jpg
3782,5864,Unisex,Footwear,Shoes,Casual Shoes,Navy Blue,Winter,2011,Casual,Converse Chuck Taylor All Star Unisex Navy Blue & Red Shoe,http://assets.myntassets.com/v1/images/style/properties/Converse-Unisex-Tone-Ox-Red-Shoe_3c81a35f58564b07a615e45196944174_images.jpg,5864.jpg
14753,40015,Unisex,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,ADIDAS Unisex Navy Blue Pack of 3 Socks,http://assets.myntassets.com/v1/images/style/properties/8b48f5b072a4a7cd900d12ccb137ffa4_images.jpg,40015.jpg
10297,8437,Women,Apparel,Topwear,Tops,Grey,Fall,2011,Casual,Jealous 21 Women Jealous Gale Coral Top Grey Tops,http://assets.myntassets.com/v1/images/style/properties/e070ada2641bf2dc6188cd24b3852bf6_images.jpg,8437.jpg
28845,25806,Men,Accessories,Wallets,Wallets,Brown,Summer,2012,Casual,Hidekraft Men Leather Brown  Wallet,http://assets.myntassets.com/v1/images/style/properties/c7984cbf18ba3138f5671346f56bc9b3_images.jpg,25806.jpg
40551,34848,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,ADIDAS Men Trx HG Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/04d05ec2abc7dc706a5c4340659d29bb_images.jpg,34848.jpg
13218,52929,Women,Apparel,Saree,Sarees,White,Fall,2012,Ethnic,FNF Multi Coloured Printed Sari,http://assets.myntassets.com/v1/images/style/properties/Fashion-N-Fabrics-Multi-Coloured-Sari_bd789010ecd2ebd9fde7f0da09ff1d65_images.jpg,52929.jpg
27387,10636,Men,Footwear,Shoes,Casual Shoes,Green,Winter,2012,Casual,Carlton London Men Semi oxfords Green Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/7b66c003e7135aa7c7d040d183f58637_images.jpg,10636.jpg
27234,28695,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,http://assets.myntassets.com/v1/images/style/properties/77674ee10c469ece94b1bfd3ff5da305_images.jpg,28695.jpg
2380,36993,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Lino Perros Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/9a4b72f5ddbed9ce726c70eecd65a2e4_images.jpg,36993.jpg
13990,10102,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Reebok Men Premier Verona Supreme 2 Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/c6b651c3474dc980106eadf223fc6422_images.jpg,10102.jpg
25297,15919,Unisex,Accessories,Bags,Backpacks,Blue,Fall,2011,Casual,ADIDAS Unisex AL Blue Backpack,http://assets.myntassets.com/v1/images/style/properties/8f999a7f2f2176b0f416ff5b7de0c49e_images.jpg,15919.jpg
32597,5175,Women,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Inkfruit Women's Face Book White T-shirt,http://assets.myntassets.com/v1/images/style/properties/3023c28847e986d6f5c0f062edbcb453_images.jpg,5175.jpg
39650,17269,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,U.S. Polo Assn. Men Stripes White Polo  Tshirt,http://assets.myntassets.com/v1/images/style/properties/cf97e4659473904efe96d0ee5a010063_images.jpg,17269.jpg
6295,38374,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual,Peter England Men Black Belt,http://assets.myntassets.com/v1/images/style/properties/ac0dccae4fd97311a7cabbfc24ba5c2c_images.jpg,38374.jpg
12727,9104,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Men Tergament White White Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/45850cf365e917d90fc1802bf45701c1_images.jpg,9104.jpg
11374,47458,Women,Footwear,Shoes,Heels,Black,Summer,2012,Casual,Tiptopp Women Black Wedges,http://assets.myntassets.com/v1/images/style/properties/acea556c2e2fb4873670a02bf3a84f2e_images.jpg,47458.jpg
25357,8710,Unisex,Accessories,Eyewear,Sunglasses,Grey,Winter,2016,Casual,Fastrack Unisex Bikers Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Unisex-Bikers-Green-Sunglassesaff8b208e67f8b17e05e422fc8cf17f9_images.jpg,8710.jpg
25963,17485,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Fila Men DLS Slam White Sports Shoe,http://assets.myntassets.com/v1/images/style/properties/52863da86a1d16e62abc20268de76ad9_images.jpg,17485.jpg
18804,27265,Women,Apparel,Topwear,Tops,Teal,Summer,2012,Casual,Arrow Woman Striped Teal Top,http://assets.myntassets.com/v1/images/style/properties/501df06b472ea78dcbab6401cb0f0487_images.jpg,27265.jpg
18442,43372,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Reebok Women White Acciomax Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/9f70a44e8105afd42debd1302a5149df_images.jpg,43372.jpg
34676,12454,Men,Accessories,Belts,Belts,Brown,Fall,2011,Casual,Timberland Men Casual Brown Belts,http://assets.myntassets.com/v1/images/style/properties/c07957967a60b452798cb4f2d9be4a01_images.jpg,12454.jpg
19283,7985,Unisex,Footwear,Sandal,Sandals,Green,Fall,2011,Casual,Fila Unisex Glory Olive Lemon Yellow Floater,http://assets.myntassets.com/v1/images/style/properties/4d6cc87bb52f443f6c89cf3f3298f45b_images.jpg,7985.jpg
38832,25163,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Lino Perros Women Leatherette Black Handbag,http://assets.myntassets.com/v1/images/style/properties/a7d641ac06db220b8eeaa9f5200a41f9_images.jpg,25163.jpg
2615,28092,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016,Casual,Jockey GOLDEDN Men Gold Edition White Innerwear Vest 4020,http://assets.myntassets.com/v1/images/style/properties/e76718d29de434707621a50af1dc863b_images.jpg,28092.jpg
10759,59920,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012,Ethnic,Diva Women Multi Colour Kurta,http://assets.myntassets.com/v1/images/style/properties/DIVA-Women-Red-Kurti_c0ade81eb6944d51b663d5fb2d37afa9_images.jpg,59920.jpg
18985,46255,Women,Apparel,Topwear,Tunics,Brown,Summer,2012,Casual,Fusion Beats Women Multi Coloured Tunic,http://assets.myntassets.com/v1/images/style/properties/c529dd9487f2ba0ca068a55bf08c09ee_images.jpg,46255.jpg
8044,27100,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Aneri Women Tamanna Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/1983061d4ee54c95129d1d97fd747ca0_images.jpg,27100.jpg
436,24866,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual,Reid & Taylor Men Formal Black Belt,http://assets.myntassets.com/v1/images/style/properties/048fb21b5cddf5bf4bafb5b507ba9872_images.jpg,24866.jpg
8000,54634,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men Grey Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Men-Grey-Dial-Watch_6a33db061dbb7104d29f746bcb147617_images.jpg,54634.jpg
24264,7394,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018,Formal,Red Tape Men Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/e53ed250e3362de5c5584c05622174aa_images.jpg,7394.jpg
25222,32397,Women,Apparel,Topwear,Shirts,Pink,Summer,2012,Formal,Arrow Woman Pink Stiped Shirt,http://assets.myntassets.com/v1/images/style/properties/7389317ad313edcb88808e5f1c3ebeed_images.jpg,32397.jpg
23063,40789,Men,Footwear,Shoes,Casual Shoes,Green,Summer,2012,Casual,Quiksilver Men Green Shoes,http://assets.myntassets.com/v1/images/style/properties/f0f0e165a0fa9205c93c48b82d7675a7_images.jpg,40789.jpg
6702,4403,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Rolling Stone Men's Union Jack Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/070811d3bd6fa2b7ba2c97d34b21b6c5_images.jpg,4403.jpg
37317,56348,Men,Accessories,Watches,Watches,Navy Blue,Winter,2016,Casual,Fastrack Men Navy Blue Watch,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Men-Black-Dial-Watch_2f08aa276e2ff86c00e2c488d29d3fdc_images.jpg,56348.jpg
43876,18617,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Puma Men Team Essential White Tshirts,http://assets.myntassets.com/v1/images/style/properties/0803a77764a0449ce868a975066b8b36_images.jpg,18617.jpg
22379,10800,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Wrangler Men Wander Wheels Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/4f910e763d13b32bec35917dcf00c092_images.jpg,10800.jpg
22325,36952,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012,Casual,Force 10 Women White Shoes,http://assets.myntassets.com/v1/images/style/properties/a9d1eabd2f40affad56623f15ad76083_images.jpg,36952.jpg
26828,51005,Women,Apparel,Innerwear,Bra,Purple,Summer,2017,Casual,Enamor Purple Full Figure Bra,http://assets.myntassets.com/v1/images/style/properties/Enamor-Purple-Full-Figure-Bra_d8f27f96e73c4b302cc18cd0f9ad8906_images.jpg,51005.jpg
35709,42544,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012,Ethnic,Mother Earth Women Pink Kurta,http://assets.myntassets.com/v1/images/style/properties/b44dd49415da3987fe14fef09c1a29af_images.jpg,42544.jpg
4004,43959,Men,Footwear,Sandal,Sandals,Grey,Summer,2012,Casual,Puma Men Grey Sandals,http://assets.myntassets.com/v1/images/style/properties/645e28828551998ae6a4f33226ef3c38_images.jpg,43959.jpg
259,19578,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Top,http://assets.myntassets.com/v1/images/style/properties/97d87b20b1a8810ee10f617a8a7ccc52_images.jpg,19578.jpg
17920,15560,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Spykar Men Washed Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/e43a99a172e410d8dc428589f0b9b836_images.jpg,15560.jpg
37378,17581,Unisex,Accessories,Socks,Socks,White,Fall,2011,Sports,ADIDAS Unisex Pack of 3 Crew Socks,http://assets.myntassets.com/v1/images/style/properties/ac83d37fedc74f153aba1031c1a536e9_images.jpg,17581.jpg
10296,16814,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Locomotive Men Check Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/0e25046f81d50e6875ceb0a2f3394871_images.jpg,16814.jpg
42682,15956,Men,Accessories,Ties,Ties,Black,Fall,2011,Formal,Turtle Men Check Black Ties,http://assets.myntassets.com/v1/images/style/properties/25a8211fa79017257598ca112dadee1c_images.jpg,15956.jpg
22411,37070,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Lino Perros Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/f802306f49854c19fb3981797e233017_images.jpg,37070.jpg
4793,52847,Women,Accessories,Jewellery,Earrings,Red,Summer,2012,Casual,Adrika Red Earrings,http://assets.myntassets.com/v1/images/style/properties/Adrika-Red-Earrings_471291a5fc37c5e193e28969b894c99c_images.jpg,52847.jpg
21459,23296,Men,Footwear,Sandal,Sandals,Olive,Fall,2011,Casual,Lotto Men Zeus Olive Sandals,http://assets.myntassets.com/v1/images/style/properties/1ff6568882300bb8c2c6fff1dbdebcbd_images.jpg,23296.jpg
412,43994,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,2017,Casual,Police Women Passion Deo,http://assets.myntassets.com/v1/images/style/properties/5c7d3d8c3d1d6cc0f1cdbe550220bc73_images.jpg,43994.jpg
10022,26676,Women,Footwear,Flip Flops,Flip Flops,Pink,Summer,2012,Casual,Puma Women Stawberry Pink Flip Flops,http://assets.myntassets.com/v1/images/style/properties/3089d7cf035690a8b0cde4e2f5ec7a83_images.jpg,26676.jpg
645,26732,Women,Personal Care,Fragrance,Deodorant,Purple,Spring,2017,Casual,Reebok Women Reestyle Deo,http://assets.myntassets.com/v1/images/style/properties/6fb082f65d44f4202ec31a692072c670_images.jpg,26732.jpg
10826,1540,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Vintage Black Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/de56aa695dee85e52940259ae95026cc_images.jpg,1540.jpg
28022,33151,Girls,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Gini and Jony Girls Printed Pink Top,http://assets.myntassets.com/v1/images/style/properties/ca67b9192c78f27f924e325d32bbf50d_images.jpg,33151.jpg
12272,37183,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,United Colors of Benetton Women Pink T-shirt,http://assets.myntassets.com/v1/images/style/properties/7b4f29694896f61332afc6d7fb1c7ffc_images.jpg,37183.jpg
32516,43880,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2010,Casual,Puma Men Navy Blue Contest Lo Shoes,http://assets.myntassets.com/v1/images/style/properties/091794ca77815281a58dbef278452bef_images.jpg,43880.jpg
38575,6326,Unisex,Footwear,Flip Flops,Flip Flops,Blue,Spring,2012,Casual,Puma Unisex MM II Blue Flip Flop,http://assets.myntassets.com/v1/images/style/properties/53aa24a23b66b200c71aea6c1f77c245_images.jpg,6326.jpg
41846,33660,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual,Lotto Men Sting II Black Sandals,http://assets.myntassets.com/v1/images/style/properties/adc847abad92fde677e1312c23a42dbb_images.jpg,33660.jpg
33579,39886,Unisex,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Casual,ADIDAS Unisex Black Clima Low Shoes,http://assets.myntassets.com/v1/images/style/properties/19f496d6fb414ba183b8eed24178f88e_images.jpg,39886.jpg
27791,11239,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Flying Machine Women Low Rise Black Jeans,http://assets.myntassets.com/v1/images/style/properties/a44211723f548739effc724d5a95b25b_images.jpg,11239.jpg
16821,6464,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2011,Casual,Lotto Men's Club Red Blue Flip Flop,http://assets.myntassets.com/v1/images/style/properties/fe53702adb888144857f8193a9a08ee9_images.jpg,6464.jpg
18800,49814,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops,http://assets.myntassets.com/v1/images/style/properties/16da68ab843a26a3561c1df1208cdd5b_images.jpg,49814.jpg
41766,7184,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Jealous 21 Women's Lost White Top,http://assets.myntassets.com/v1/images/style/properties/88002b2f2c36dd4ce9dbedc8d3e7898e_images.jpg,7184.jpg
2709,9096,Unisex,Footwear,Shoes,Casual Shoes,Blue,Fall,2011,Casual,Converse Unisex Ct As Star Chevron Hi Blue Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/1fa0f65a2a08a7bcfb1fa563709b28a1_images.jpg,9096.jpg
36405,51934,Women,Accessories,Bags,Handbags,Yellow,Summer,2016,Casual,Nyk Women Yellow Arsenal Handbag,http://assets.myntassets.com/v1/images/style/properties/Nyk-Women-Yellow-Arsenal-Handbag_ac7ac30b2dafed219fa1925008cc179e_images.jpg,51934.jpg
1108,39176,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012,Ethnic,Aneri Women Purple Kurta,http://assets.myntassets.com/v1/images/style/properties/0b1ae91ba6743530bac766b3528a93a5_images.jpg,39176.jpg
23783,37811,Men,Apparel,Topwear,Shirts,Olive,Summer,2012,Casual,John Players Men Olive Shirt,http://assets.myntassets.com/v1/images/style/properties/70a89c721a4c64b53bbc82970b7a5f6f_images.jpg,37811.jpg
20197,17697,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011,Casual,Vans Men Bali Grey Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/61fc19359d6093df384570f6c3421047_images.jpg,17697.jpg
33631,51564,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Fastrack Men Steel Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Men-Steel-Dial-Watch_1044e59d9c7b1ef2a8e5c8a53ea75502_images.jpg,51564.jpg
42686,30823,Women,Apparel,Bottomwear,Churidar,Blue,Summer,2012,Ethnic,Fabindia Women Blue Churidar,http://assets.myntassets.com/v1/images/style/properties/3a0f71b993403230b5ff830816d601b1_images.jpg,30823.jpg
14639,27745,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Murcia Women Leather Black Handbag,http://assets.myntassets.com/v1/images/style/properties/a204f8fe771c6feb353fe9f73bd133a6_images.jpg,27745.jpg
14002,47457,Women,Footwear,Shoes,Flats,Black,Summer,2012,Casual,Tiptopp Women Black Sandals,http://assets.myntassets.com/v1/images/style/properties/ad6b901171d9ad9ccbd31660dec20c62_images.jpg,47457.jpg
250,22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men White Capri II Casual Shoe,http://assets.myntassets.com/v1/images/style/properties/9f8463e724322e0b47cc9f615acab635_images.jpg,22705.jpg
19968,26112,Men,Apparel,Topwear,Shirts,Purple,Summer,2012,Formal,John Miller Men Striped Purple Shirt,http://assets.myntassets.com/v1/images/style/properties/d54e4a72b7881c29ddc201a16e826a30_images.jpg,26112.jpg
26948,4519,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,Puma Men's Jago White Silver Navy Shoe,http://assets.myntassets.com/v1/images/style/properties/0953050cbdcc0f3ab07de07515c15c43_images.jpg,4519.jpg
15112,57263,Women,Accessories,Bags,Handbags,Cream,Spring,2013,Casual,Murcia Blue & Cream Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Blue-and-Beige-Handbag_bbc4f56247b0341bddc8a243eee4daed_images.jpg,57263.jpg
255,6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket,http://assets.myntassets.com/v1/images/style/properties/01c417703d7775105ba346c691f4700b_images.jpg,6889.jpg
19209,34820,Men,Footwear,Sandal,Sports Sandals,Grey,Fall,2013,Casual,ADIDAS Men Hispana Grey Sandals,http://assets.myntassets.com/v1/images/style/properties/8486cda6b9df5b49404f248851d8cae5_images.jpg,34820.jpg
17201,33403,Women,Accessories,Bags,Clutches,Gold,Fall,2012,Casual,Baggit Women Bingri Club Gold Clutch,http://assets.myntassets.com/v1/images/style/properties/a2b212a3dfb68aea4b54ec7ed5221eaa_images.jpg,33403.jpg
40700,30885,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic,Fabindia Women Printed Peach Kurta,http://assets.myntassets.com/v1/images/style/properties/288e48dcb9d348dcdfc649aeee71f9b9_images.jpg,30885.jpg
7896,4459,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Nike Men's Black Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/e19e7050de375184d0209bf05f0dcfef_images.jpg,4459.jpg
13753,40078,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,ADIDAS Men Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/923afc9d4e20fbcc76af287216b4cfbe_images.jpg,40078.jpg
35172,8247,Unisex,Footwear,Shoes,Casual Shoes,Black,Fall,2013,Casual,Converse Unisex Mono Black Canvas,http://assets.myntassets.com/v1/images/style/properties/5f1c21857b0ed16c3fdc1bdb6617fb38_images.jpg,8247.jpg
22006,39162,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Aneri Women Blue Printed Kurta,http://assets.myntassets.com/v1/images/style/properties/dd3c558f60acd502c853796f2135ac50_images.jpg,39162.jpg
24159,3539,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Men's I am a nice guy Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/304c1035aec7cbd32c701f230b12a029_images.jpg,3539.jpg
26322,14865,Women,Accessories,Wallets,Wallets,Black,Summer,2011,Casual,United Colors of Benetton Women Solid Black Wallets,http://assets.myntassets.com/v1/images/style/properties/a67efa7cf73b09b7338c0d4d469f664f_images.jpg,14865.jpg
38645,55392,Women,Personal Care,Nails,Nail Polish,White,Spring,2017,Casual,Revlon Natural Nail Polish 75,http://assets.myntassets.com/v1/images/style/properties/Revlon-Natural-Nail-Polish-75_c2c602d1449d0467da4b9836c41aa386_images.jpg,55392.jpg
27336,16952,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Classic Eyewear Black Sunglasses,http://assets.myntassets.com/v1/images/style/properties/837bc8cabc4910bbb4e9770731e7c4af_images.jpg,16952.jpg
4498,35714,Women,Footwear,Shoes,Sports Shoes,Grey,Summer,2012,Sports,Force 10 Women Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/42dff1f5e2e124b1088fddf2f1792722_images.jpg,35714.jpg
31366,38325,Unisex,Accessories,Bags,Backpacks,Red,Summer,2012,Casual,Puma Unisex Red Backpack,http://assets.myntassets.com/v1/images/style/properties/80f104e4715205968c268102b8fc8edd_images.jpg,38325.jpg
6550,43088,Women,Personal Care,Fragrance,Fragrance Gift Set,Blue,Spring,2017,Casual,Swiss Army Women Mountain Water Perfume Set,http://assets.myntassets.com/v1/images/style/properties/26b7d2b5a04dfbc99ef90dcd2fdf4822_images.jpg,43088.jpg
35462,32250,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Ethnic,Fabindia Women Blue Skirts,http://assets.myntassets.com/v1/images/style/properties/5a2632d25e111f39c4d00d1bc35e93cd_images.jpg,32250.jpg
21647,37239,Women,Footwear,Shoes,Flats,Pink,Summer,2012,Casual,United Colors of Benetton Women Pink Sandals,http://assets.myntassets.com/v1/images/style/properties/64c874ee40c33298d8b147f4abe24781_images.jpg,37239.jpg
13075,39849,Girls,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Gini and Jony Girls Striped Blue Top,http://assets.myntassets.com/v1/images/style/properties/b45ca9f0de9d375d3276e0eb191988d9_images.jpg,39849.jpg
24113,18202,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Casual,Nike Men AS Squad Fleec LS Crew Grey Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/047100bf2586bcf894778810826c14b3_images.jpg,18202.jpg
26645,27886,Women,Apparel,Topwear,Shirts,Pink,Summer,2012,Formal,Scullers For Her Women Pink Shirt,http://assets.myntassets.com/v1/images/style/properties/70cc545c75e9402649796c3616edf502_images.jpg,27886.jpg
23268,4110,Men,Footwear,Sandal,Sandals,Green,Summer,2011,Casual,Fila Men Obsidian Olive Sandal,http://assets.myntassets.com/v1/images/style/properties/bb461f0bf2fe6f54f5d2c8a5c837ade0_images.jpg,4110.jpg
39162,30442,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Deni Yo Men Blue Slim Fit Jeans,http://assets.myntassets.com/v1/images/style/properties/Deni-Yo-Men-Blue-Slim-Fit-Jeans_bc959e7c8de3d71df0d425f18a643940_images.jpg,30442.jpg
33717,33913,Men,Accessories,Watches,Watches,Gold,Winter,2016,Formal,Citizen Men Gold Dial Watch,http://assets.myntassets.com/v1/images/style/properties/9466d5f802c9df79ab8b0781660d0504_images.jpg,33913.jpg
11481,5793,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,ADIDAS Men's Bike Olive Green T-shirt,http://assets.myntassets.com/v1/images/style/properties/6795e4aaeb6465692b3058ed0d112c57_images.jpg,5793.jpg
5217,55634,Women,Footwear,Shoes,Heels,Gold,Summer,2016,Casual,Catwalk Women Gold Heels,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Gold-Heels_f833c0ce4b9a0a1c7534f1af71383da0_images.jpg,55634.jpg
4275,6014,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,Highlander Men Black & White Checked Slim Fit Shirt,http://assets.myntassets.com/v1/images/style/properties/7920b944d467f1bb4eb1d1586070f4ac_images.jpg,6014.jpg
31388,46594,Women,Footwear,Shoes,Heels,Beige,Spring,2013,Casual,Catwalk Women Beige Flats,http://assets.myntassets.com/v1/images/style/properties/15f085a6f819bb9c27898359a3f72b35_images.jpg,46594.jpg
33498,22406,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Mark Taylor Men Purple Striped Shirt,http://assets.myntassets.com/v1/images/style/properties/8a55a8eef910468745d9a8f5485981cf_images.jpg,22406.jpg
38004,41598,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Basics Men Blue Striped Shirt,http://assets.myntassets.com/v1/images/style/properties/88f0a0d51254abcf9eecbcfc83c32215_images.jpg,41598.jpg
34025,28763,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012,Ethnic,Aurelia Women Maroon Kurta,http://assets.myntassets.com/v1/images/style/properties/3912e42ba3431e03b410cfb444c1fee4_images.jpg,28763.jpg
15995,15611,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011,Casual,Nike Men Casual Navy Blue Track Pants,http://assets.myntassets.com/v1/images/style/properties/4eb51993db42a6d121d2c5716adef307_images.jpg,15611.jpg
41065,55885,Women,Personal Care,Nails,Nail Polish,White,Spring,2017,Casual,Colorbar Exclusive Nail Lacquer 37,http://assets.myntassets.com/assets/images/55885/2019/1/10/328cd74a-5a46-482d-8c59-629cede77eca1547124716326-Colorbar-Exclusive-Nail-Lacquer-37-1301547124716169-1.jpg,55885.jpg
